window_id,window_start_utc,station_count,outage_class,n_stations_in_window,n_with_duration,n_never_recovered,earliest_outage_start_utc,latest_outage_start_utc,start_spread_hours,min_duration_hours,median_duration_hours,max_duration_hours,mean_duration_hours,earliest_recovery_utc,latest_recovery_utc,recovery_spread_hours,status
NW_20251007T23,2025-10-07 23:00:00+00:00,8,unknown,8,8,0,2025-10-07 23:00:00+00:00,2025-10-07 23:00:00+00:00,0.0,86.0,116.0,192.0,131.375,2025-10-11 13:00:00+00:00,2025-10-15 23:00:00+00:00,106.0,ok
NW_20251012T23,2025-10-12 23:00:00+00:00,20,unknown,20,20,0,2025-10-12 23:00:00+00:00,2025-10-12 23:00:00+00:00,0.0,24.0,72.0,183.0,77.05,2025-10-13 23:00:00+00:00,2025-10-20 14:00:00+00:00,159.0,ok
NW_20251015T23,2025-10-15 23:00:00+00:00,5,unknown,5,5,0,2025-10-15 23:00:00+00:00,2025-10-15 23:00:00+00:00,0.0,24.0,72.0,111.0,60.6,2025-10-16 23:00:00+00:00,2025-10-20 14:00:00+00:00,87.0,ok
NW_20251016T22,2025-10-16 22:00:00+00:00,17,unknown,17,17,0,2025-10-16 22:00:00+00:00,2025-10-16 23:00:00+00:00,1.0,24.0,48.0,161.0,57.529411764705884,2025-10-17 23:00:00+00:00,2025-10-23 16:00:00+00:00,137.0,ok
NW_20251021T23,2025-10-21 23:00:00+00:00,18,unknown,18,18,0,2025-10-21 23:00:00+00:00,2025-10-21 23:00:00+00:00,0.0,23.0,24.0,41.0,24.88888888888889,2025-10-22 22:00:00+00:00,2025-10-23 16:00:00+00:00,18.0,ok
NW_20251026T22,2025-10-26 22:00:00+00:00,11,unknown,11,11,0,2025-10-26 22:00:00+00:00,2025-10-26 23:00:00+00:00,1.0,15.0,24.0,109.0,30.90909090909091,2025-10-27 13:00:00+00:00,2025-10-31 12:00:00+00:00,95.0,ok
NW_20251028T23,2025-10-28 23:00:00+00:00,12,unknown,12,12,0,2025-10-28 23:00:00+00:00,2025-10-28 23:00:00+00:00,0.0,23.0,24.0,24.0,23.916666666666668,2025-10-29 22:00:00+00:00,2025-10-29 23:00:00+00:00,1.0,ok
NW_20251105T23,2025-11-05 23:00:00+00:00,12,unknown,12,12,0,2025-11-05 23:00:00+00:00,2025-11-05 23:00:00+00:00,0.0,13.0,24.0,32.0,23.666666666666668,2025-11-06 12:00:00+00:00,2025-11-07 07:00:00+00:00,19.0,ok
NW_20251110T22,2025-11-10 22:00:00+00:00,9,unknown,9,9,0,2025-11-10 22:00:00+00:00,2025-11-10 23:00:00+00:00,1.0,24.0,24.0,55.0,35.44444444444444,2025-11-11 23:00:00+00:00,2025-11-13 05:00:00+00:00,30.0,ok
NW_20251111T23,2025-11-11 23:00:00+00:00,8,unknown,8,8,0,2025-11-11 23:00:00+00:00,2025-11-11 23:00:00+00:00,0.0,24.0,24.0,24.0,24.0,2025-11-12 23:00:00+00:00,2025-11-12 23:00:00+00:00,0.0,ok
NW_20251113T22,2025-11-13 22:00:00+00:00,15,unknown,15,15,0,2025-11-13 22:00:00+00:00,2025-11-13 23:00:00+00:00,1.0,24.0,24.0,48.0,32.93333333333333,2025-11-14 23:00:00+00:00,2025-11-15 23:00:00+00:00,24.0,ok
NW_20251114T23,2025-11-14 23:00:00+00:00,6,unknown,6,6,0,2025-11-14 22:00:00+00:00,2025-11-14 23:00:00+00:00,1.0,1.0,24.0,55.0,28.5,2025-11-14 23:00:00+00:00,2025-11-17 06:00:00+00:00,55.0,ok
NW_20251119T23,2025-11-19 23:00:00+00:00,21,unknown,21,21,0,2025-11-19 23:00:00+00:00,2025-11-19 23:00:00+00:00,0.0,24.0,24.0,24.0,24.0,2025-11-20 23:00:00+00:00,2025-11-20 23:00:00+00:00,0.0,ok
NW_20251122T22,2025-11-22 22:00:00+00:00,16,unknown,16,16,0,2025-11-22 22:00:00+00:00,2025-11-22 23:00:00+00:00,1.0,24.0,24.0,41.0,25.5,2025-11-23 23:00:00+00:00,2025-11-24 15:00:00+00:00,16.0,ok
NW_20251124T23,2025-11-24 23:00:00+00:00,16,unknown,16,16,0,2025-11-24 23:00:00+00:00,2025-11-24 23:00:00+00:00,0.0,24.0,24.0,24.0,24.0,2025-11-25 23:00:00+00:00,2025-11-25 23:00:00+00:00,0.0,ok
NW_20251128T22,2025-11-28 22:00:00+00:00,16,unknown,16,16,0,2025-11-28 22:00:00+00:00,2025-11-28 23:00:00+00:00,1.0,24.0,24.0,62.0,26.375,2025-11-29 23:00:00+00:00,2025-12-01 12:00:00+00:00,37.0,ok
NW_20251203T14,2025-12-03 14:00:00+00:00,5,unknown,5,5,0,2025-12-03 13:00:00+00:00,2025-12-03 15:00:00+00:00,2.0,1.0,5.0,42.0,17.0,2025-12-03 16:00:00+00:00,2025-12-05 08:00:00+00:00,40.0,ok
NW_20251203T23,2025-12-03 23:00:00+00:00,18,unknown,18,18,0,2025-12-03 23:00:00+00:00,2025-12-03 23:00:00+00:00,0.0,2.0,24.0,26.0,22.833333333333332,2025-12-04 01:00:00+00:00,2025-12-05 01:00:00+00:00,24.0,ok
NW_20251207T16,2025-12-07 16:00:00+00:00,5,unknown,5,5,0,2025-12-07 16:00:00+00:00,2025-12-07 17:00:00+00:00,1.0,1.0,1.0,2.0,1.2,2025-12-07 17:00:00+00:00,2025-12-07 19:00:00+00:00,2.0,ok
NW_20251229T07,2025-12-29 07:00:00+00:00,5,unknown,5,5,0,2025-12-29 06:00:00+00:00,2025-12-29 08:00:00+00:00,2.0,1.0,2.0,22.0,5.8,2025-12-29 07:00:00+00:00,2025-12-30 06:00:00+00:00,23.0,ok
NW_20251231T16,2025-12-31 16:00:00+00:00,5,unknown,5,5,0,2025-12-31 15:00:00+00:00,2025-12-31 17:00:00+00:00,2.0,1.0,1.0,3.0,1.8,2025-12-31 16:00:00+00:00,2025-12-31 19:00:00+00:00,3.0,ok
NW_20260131T12,2026-01-31 12:00:00+00:00,6,unknown,6,6,0,2026-01-31 11:00:00+00:00,2026-01-31 13:00:00+00:00,2.0,1.0,4.0,69.0,14.333333333333334,2026-01-31 14:00:00+00:00,2026-02-03 10:00:00+00:00,68.0,ok
NW_20260201T09,2026-02-01 09:00:00+00:00,5,unknown,5,5,0,2026-02-01 09:00:00+00:00,2026-02-01 10:00:00+00:00,1.0,1.0,3.0,5.0,3.2,2026-02-01 10:00:00+00:00,2026-02-01 15:00:00+00:00,5.0,ok
NW_20260206T16,2026-02-06 16:00:00+00:00,6,unknown,6,6,0,2026-02-06 15:00:00+00:00,2026-02-06 17:00:00+00:00,2.0,1.0,2.0,190.0,51.666666666666664,2026-02-06 16:00:00+00:00,2026-02-14 15:00:00+00:00,191.0,ok
NW_20260303T23,2026-03-03 23:00:00+00:00,6,unknown,6,6,0,2026-03-03 23:00:00+00:00,2026-03-03 23:00:00+00:00,0.0,2.0,24.0,24.0,20.333333333333332,2026-03-04 01:00:00+00:00,2026-03-04 23:00:00+00:00,22.0,ok
NW_20260305T23,2026-03-05 23:00:00+00:00,6,unknown,6,6,0,2026-03-05 23:00:00+00:00,2026-03-05 23:00:00+00:00,0.0,24.0,24.0,24.0,24.0,2026-03-06 23:00:00+00:00,2026-03-06 23:00:00+00:00,0.0,ok
NW_20260307T23,2026-03-07 23:00:00+00:00,7,unknown,7,7,0,2026-03-07 23:00:00+00:00,2026-03-07 23:00:00+00:00,0.0,39.0,39.0,40.0,39.142857142857146,2026-03-09 14:00:00+00:00,2026-03-09 15:00:00+00:00,1.0,ok
NW_20260308T23,2026-03-08 23:00:00+00:00,14,unknown,14,14,0,2026-03-08 23:00:00+00:00,2026-03-08 23:00:00+00:00,0.0,15.0,15.0,16.0,15.071428571428571,2026-03-09 14:00:00+00:00,2026-03-09 15:00:00+00:00,1.0,ok
NW_20260316T22,2026-03-16 22:00:00+00:00,6,unknown,6,6,0,2026-03-16 21:00:00+00:00,2026-03-16 23:00:00+00:00,2.0,1.0,2.0,19.0,7.166666666666667,2026-03-16 23:00:00+00:00,2026-03-17 18:00:00+00:00,19.0,ok
NW_20260317T02,2026-03-17 02:00:00+00:00,6,unknown,6,6,0,2026-03-17 01:00:00+00:00,2026-03-17 03:00:00+00:00,2.0,1.0,2.5,12.0,4.666666666666667,2026-03-17 03:00:00+00:00,2026-03-17 14:00:00+00:00,11.0,ok
NW_20260317T17,2026-03-17 17:00:00+00:00,6,unknown,6,6,0,2026-03-17 17:00:00+00:00,2026-03-17 19:00:00+00:00,2.0,1.0,1.0,2.0,1.1666666666666667,2026-03-17 18:00:00+00:00,2026-03-17 21:00:00+00:00,3.0,ok
